aspect,bright_ratio_p95,contrast_p95_p5,dark_ratio_p5,edge_density,entropy,gradient_mean,gradient_p95,gray_cv,gray_mean,gray_p1,gray_p5,gray_p50,gray_p95,gray_p99,gray_std,height,image,laplacian_var,pixels,sha1,width
1.0,0.050594329833984375,124.0,0.062774658203125,0.13423919677734375,6.809176720464565,23.643125534057617,65.43125915527344,0.8740441018118849,48.569740295410156,6.0,11.0,35.0,135.0,233.0,42.45209503173828,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/262_C-130_0001.png,7668.45361328125,1048576,bc3e3510675ba39ff6fda15e3f77ffe843eac908,1024
1.0,0.050418853759765625,141.0,0.060001373291015625,0.13547897338867188,6.877539279765782,24.33159637451172,68.15607452392578,0.9135663758166402,51.56956100463867,6.0,11.0,36.0,152.0,252.0,47.11221694946289,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/262_C-130_0002.png,7950.82958984375,1048576,099365b5d9454f0ec0606eeb1c72cd6bfc34f1fc,1024
1.0,0.050457000732421875,171.0,0.052478790283203125,0.13938140869140625,7.006500361507927,26.08889389038086,73.86537170410156,0.9250442491088193,57.23454284667969,6.0,11.0,39.0,182.0,255.0,52.94448471069336,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/262_C-130_0003.png,8792.84375,1048576,357f2792880db4cd86793d93fc673bb75170e6d7,1024
1.0,0.050594329833984375,116.0,0.0516510009765625,0.1195526123046875,6.3953430406147636,17.89243507385254,59.07622146606445,1.1196516482932757,37.63056945800781,4.0,7.0,23.0,123.0,242.0,42.13312911987305,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/262_C-130_0029.png,5159.74853515625,1048576,cc26d6bea946e6d4c6da0d09288ed5899af5591a,1024
1.0,0.050235748291015625,137.0,0.0531158447265625,0.12989044189453125,6.5255306028142055,19.123916625976562,64.07027435302734,1.1343324151793193,40.993499755859375,4.0,7.0,24.0,144.0,249.0,46.5002555847168,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/262_C-17_0021.png,5817.41748046875,1048576,37c72ee736db693bd7415ec9eb1d2478f2698b2d,1024
1.0,0.05028533935546875,126.0,0.0590972900390625,0.13103866577148438,6.667830064230571,20.603443145751953,64.51713562011719,1.0115567108372931,43.32762145996094,5.0,8.0,28.0,134.0,242.0,43.828346252441406,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/262_C-17_0022.png,6542.45947265625,1048576,4b0df8f6b513e153bb4fdf86bcb88f40715f6447,1024
1.0,0.050510406494140625,130.0,0.06634902954101562,0.1131439208984375,6.26685779921481,17.01597785949707,61.734371185302734,1.2463410001306738,36.16951370239258,4.0,7.0,21.0,137.0,247.0,45.07954788208008,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/262_C-17_0023.png,4902.970703125,1048576,22d0f2361a308b77beceaeafd30e8649820ee25b,1024
1.0,0.05002593994140625,117.0,0.06824111938476562,0.11185073852539062,6.211380808663842,16.62496566772461,60.00208282470703,1.2244100227214707,34.41231918334961,4.0,7.0,20.0,124.0,240.0,42.134788513183594,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/262_C-17_0024.png,4752.92724609375,1048576,2fd5991693c06a8ca5948b0dc4e945d0fe9b1caf,1024
1.0,0.050262451171875,118.0,0.0688018798828125,0.11077499389648438,6.204872233869648,16.45119285583496,59.04447555541992,1.237138908030604,34.45452880859375,4.0,7.0,20.0,125.0,242.0,42.625038146972656,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/262_C-17_0025.png,4653.7294921875,1048576,b934c1b4dd17ef208edfeb9965c2e1a02d582f51,1024
1.0,0.050426483154296875,87.0,0.05178070068359375,0.08199310302734375,5.860569011953484,13.729008674621582,46.013160705566406,1.3596594676789802,29.574596405029297,4.0,6.0,18.0,93.0,249.0,40.21138000488281,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/262_C-17_0026.png,3140.1474609375,1048576,28ca0d51834129deefba02e3850a65ee188c94fa,1024
